beta,gamma,prevalence,gini
0.075,1,-5.56009258114832e-18,0.201469685221537
0.075,0.5,-8.09971058502123e-15,0.1982049427198
0.075,0.25,0.00205794183015645,0.169931964075209
0.075,0.166666666666667,0.0101205796055044,0.12096430861904
0.1,1,-3.37580273913496e-16,0.331495335263923
0.1,0.5,0.00191632865753242,0.282987183171712
0.1,0.25,0.0141528695789321,0.168747423330343
0.1,0.166666666666667,0.0325461451775918,0.12007964536753
0.15,1,0.00237613457857421,0.423715084947747
0.15,0.5,0.0132935476770919,0.280341128295145
0.15,0.25,0.0456581552620269,0.166975601162708
0.15,0.166666666666667,0.0904563260088716,0.118662631627625
0.25,1,0.0139895021841883,0.418786990992769
0.25,0.5,0.0452525033618632,0.276446562409469
0.25,0.25,0.12638905950159,0.164046365009611
0.25,0.166666666666667,0.211930338637268,0.116387173318865
